security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-02-13 22:00:00,1.34889,1.35583,1.3508,1.34291,50.85399713524319,-12.380830301668718,0.007095493370786475
EUR_USD,2011-02-14 22:00:00,1.34868,1.35505,1.34886,1.34614,51.66368282920718,-14.811572035359555,0.00810439469662919
EUR_USD,2011-02-15 22:00:00,1.35686,1.3588,1.34866,1.34624,51.689174215826725,-12.019635650231633,0.009015515757303375
EUR_USD,2011-02-16 22:00:00,1.36093,1.36189,1.35684,1.3537,53.57847619151676,-0.10185284480189487,0.010342412605842689
EUR_USD,2011-02-17 22:00:00,1.36931,1.37151,1.36096,1.35458,53.79895952958856,7.591111111111086,0.011835930084674172
EUR_USD,2011-02-18 22:00:00,1.36931,1.36931,1.36931,1.36931,57.30992555384585,28.097777777777637,0.012414744067739365
EUR_USD,2011-02-19 22:00:00,1.37005,1.37258,1.36931,1.36931,57.30992555384585,41.973333333333265,0.01058579525419147
EUR_USD,2011-02-20 22:00:00,1.36782,1.37158,1.37003,1.36479,55.91457885143395,51.04888888888885,0.008922636203353176
EUR_USD,2011-02-21 22:00:00,1.36505,1.37036,1.36785,1.35258,52.35260237721314,36.54553459119485,0.008252108962682556
EUR_USD,2011-02-22 22:00:00,1.37487,1.37865,1.36503,1.36485,55.31203669723738,36.18486622025633,0.011815687170146052
EUR_USD,2011-02-23 22:00:00,1.38002,1.38208,1.37497,1.37048,56.59179637648612,43.61050356316476,0.012898549736116857
EUR_USD,2011-02-24 22:00:00,1.37536,1.3838,1.38,1.3724,57.02596663345675,62.277748330725444,0.012982839788893486
EUR_USD,2011-02-25 22:00:00,1.37534,1.37539,1.37539,1.37534,57.696216633935016,69.59115179304455,0.010984271831114755
EUR_USD,2011-02-26 22:00:00,1.37586,1.37616,1.37534,1.37424,57.35001203616985,72.09258205274159,0.008951417464891812
EUR_USD,2011-02-27 22:00:00,1.38065,1.38554,1.37583,1.37115,56.367132064925336,69.90032330136138,0.009421133971913468
EUR_USD,2011-02-28 22:00:00,1.3777,1.38542,1.38063,1.3763,57.619424699108684,69.57395600945063,0.010390907177530776
EUR_USD,2011-03-01 22:00:00,1.38653,1.38906,1.37767,1.37434,56.97562134383908,66.49722944094856,0.010864725742024597
EUR_USD,2011-03-02 22:00:00,1.39692,1.39758,1.38648,1.38334,59.14406985835159,69.80045917426547,0.013339780593619708
EUR_USD,2011-03-03 22:00:00,1.3987,1.40071,1.39688,1.3941,61.54136441496584,73.91875996269188,0.014145824474895744
EUR_USD,2011-03-04 22:00:00,1.39868,1.3988,1.3988,1.39868,62.50999517573588,84.76394246365098,0.012256659579916625
EUR_USD,2011-03-05 22:00:00,1.39949,1.39974,1.39868,1.39815,62.3220894395501,92.82740954210702,0.010017327663933312
EUR_USD,2011-03-06 22:00:00,1.39685,1.4036,1.39947,1.39556,61.389201013656255,92.1824699515007,0.009103862131146641
EUR_USD,2011-03-07 22:00:00,1.39048,1.39889,1.39688,1.38626,58.15560529425295,81.12150967088179,0.007949089704917324
EUR_USD,2011-03-08 22:00:00,1.39084,1.39414,1.39046,1.38562,57.93834512730707,68.70529913103313,0.007935271763933837
EUR_USD,2011-03-09 22:00:00,1.37974,1.39245,1.39082,1.37756,55.24932631788272,51.07881070643924,0.0077142174111470485
EUR_USD,2011-03-10 22:00:00,1.39029,1.39153,1.37971,1.37522,54.48979273325166,38.91296868035408,0.008965373928917646
EUR_USD,2011-03-11 22:00:00,1.39029,1.39029,1.39029,1.39029,58.3082728521709,41.46573329876427,0.010186299143134101
EUR_USD,2011-03-12 22:00:00,1.39664,1.39854,1.39029,1.39029,58.3082728521709,52.46737533488918,0.009799039314507256
EUR_USD,2011-03-13 21:00:00,1.39921,1.40032,1.39653,1.39047,58.35293831647698,65.64687581021542,0.009845231451605803
EUR_USD,2011-03-14 21:00:00,1.3998,1.4013,1.39918,1.38556,56.6406287785358,56.14616171150417,0.010042185161284621
EUR_USD,2011-03-15 21:00:00,1.38998,1.40024,1.39986,1.38672,56.94937295995515,47.73870066437225,0.010969748129027703
EUR_USD,2011-03-16 21:00:00,1.40215,1.40522,1.38996,1.3869,56.998524478120004,38.64872974158908,0.012475798503222155
EUR_USD,2011-03-17 21:00:00,1.41819,1.41842,1.4022,1.39808,59.93745011992177,43.914177449368545,0.016284638802577724
EUR_USD,2011-03-18 21:00:00,1.41819,1.41819,1.41819,1.41819,64.457532397915,63.644522708268624,0.017049711042062193
